      Test Name    no_log_fn(%) no_log_fn_sc_cs_nhd(%) no_log_fn_sc_cs_hd(%)         orig(%) 
           INCR          101.56          106.35          106.68 
     LRANGE_300           99.62          102.65          104.55          102.59 
           SADD           99.56          106.47          107.57          111.62 
    PING_INLINE           98.89          105.86          109.29          110.84 
           SPOP          102.09          106.26          108.56          109.66 
            GET          103.56          107.57           106.9 
           LPOP           97.28          106.31          104.24 
     LRANGE_600          100.72          102.56          103.52          104.54 
     LRANGE_100          104.21          105.65          106.99          105.45 
           RPOP          103.34          108.91          109.91 
          LPUSH           103.1          106.42          110.07          108.08 
      PING_BULK          102.25          109.23           108.9          110.02 
            SET          102.63          108.86          105.69 
          RPUSH           100.0          103.84          105.15 
           MSET          103.12          105.24          108.16          108.16 
           HSET           99.35          105.27          106.88          109.35 
     LRANGE_500           99.09           100.4          103.13          101.72 
