      Test-Name    our_baseline(%) no_log_fn_sc_cs_nhd(%) sc_cs_hd(%)    sc_cs_hd_test(%) 
           INCR          101.56             100          106.35          107.13 
     LRANGE_300           99.62          102.65          104.55          104.55 
           SADD           99.56          106.47          107.57           106.9 
    PING_INLINE           98.89          105.86          109.29          109.29 
           SPOP          102.09          106.26          108.56          108.23 
            GET          103.56             100          107.57          107.57 
           LPOP           97.28             100          106.31          106.31 
     LRANGE_600          100.72          102.56          103.52          103.52 
     LRANGE_100          104.21          105.65          106.99          106.99 
           RPOP          103.34             100          108.91          106.46 
          LPUSH           103.1          106.42          110.07          110.07 
      PING_BULK          102.25          109.23           108.9           108.9 
            SET          102.63             100          108.86          109.19 
          RPUSH           100.0             100          103.84          103.84 
           MSET          103.12          105.24          108.16          107.85 
           HSET           99.35          105.27          106.88          106.88 
     LRANGE_500           99.09           100.4          103.13          103.13 
