      Test-Name    our_baseline(%) sc_cs_nhd(%) sc_cs_hd(%)     hardened(%) 
           INCR           98.11             100          106.35          115.81 
     LRANGE_300           98.42          102.65          104.55           105.3 
           SADD           97.81          106.47          107.57          112.94 
    PING_INLINE            96.9          105.86          109.29           114.6 
           SPOP           98.13          106.26          108.56          111.31 
            GET           97.66             100          107.57          118.71 
           LPOP           94.02             100          106.31          111.86 
     LRANGE_600          100.17          102.56          103.52          103.66 
     LRANGE_100           100.0          105.65          106.99           107.5 
           RPOP           98.55             100          108.91          112.03 
          LPUSH           99.23          106.42          110.07          114.82 
      PING_BULK           98.76          109.23           108.9          111.49 
            SET          101.75             100          108.86          115.97 
          RPUSH           99.45             100          103.84          111.18 
           MSET           100.5          105.24          108.16          112.39 
           HSET            97.2          105.27          106.88           111.4 
     LRANGE_500           97.67           100.4          103.13          104.35 
