      Test-Name    our_baseline(%)   sc_cs_nhd(%)      sc_cs_hd(%)         orig(%)          sc_cs_hd_test(%)
           INCR          101.56          106.35          106.68             0               107.10
     LRANGE_300           99.62          102.65          104.55          102.59             104.55
           SADD           99.56          106.47          107.57          111.62             105.70
    PING_INLINE           99.89          105.86          109.29          110.84             109.29
           SPOP          102.09          106.26          108.56          109.66             108.21
            GET          103.56          107.57           106.9           0                 106.9 
           LPOP           99.88          106.31          104.24           0                 104.24
     LRANGE_600          100.72          102.56          103.52          104.54             103.52
     LRANGE_100          102.21          105.65          106.99          105.45             106.99
           RPOP          102.34          108.91          109.91            0                109.91
          LPUSH           102.1          106.42          110.07          108.08             110.07 
      PING_BULK          102.25          109.23           108.9          110.02             108.9
            SET          102.63          108.86          105.69             0               108.75
          RPUSH           100.0          103.84          105.15             0               105.15
           MSET          102.12          105.24          108.16          108.16             107.55
           HSET           99.95          105.27          106.88          109.35             106.88
     LRANGE_500           99.85           100.4          103.13          101.72             103.13
